"Country","% Fatigue"
"Albania","30"
"Algeria","3"
"Argentina","65"
"Armenia","NOT KNOWN"
"Australia","NOT KNOWN"
"Austria","NOT KNOWN"
"Bahrain","NOT KNOWN"
"Bangladesh","NOT KNOWN"
"Belgium","2"
"Bolivia","15"
"Bosnia and Herzegovina","56"
"Brazil","NOT KNOWN"
"Bulgaria","NOT KNOWN"
"Cameroon","30"
"Canada","5"
"China","40"
"Colombia","NOT KNOWN"
"Costa Rica","NOT KNOWN"
"Cote d'Ivoire","NOT KNOWN"
"Cuba","NOT KNOWN"
"Croatia","NOT KNOWN"
"Cyprus","NOT KNOWN"
"Czech Republic","NOT KNOWN"
"Democratic Republic of the Congo","100"
"Denmark","NOT KNOWN"
"Dominican Republic","NOT KNOWN"
"Ecuador","NOT KNOWN"
"Egypt","NOT KNOWN"
"Estonia","NOT KNOWN"
"Ethiopia","NOT KNOWN"
"Finland","NOT KNOWN"
"France","4"
"Germany","61.5"
"Ghana","5"
"Greece","76"
"Guatemala","30"
"Guinea","95"
"Hungary","76"
"Iceland","2"
"India","30"
"Indonesia","80"
"Iran","NOT KNOWN"
"Iraq","NOT KNOWN"
"Ireland","2"
"Israel","NOT KNOWN"
"Italy","NOT KNOWN"
"Japan","60"
"Jordan","50"
"Kenya","NOT KNOWN"
"Kuwait","90"
"Latvia","NOT KNOWN"
"Lebanon","NOT KNOWN"
"Libya","50"
"Liechtenstein","10"
"Lithuania","90"
"Luxembourg","NOT KNOWN"
"Malawi","NOT KNOWN"
"Malaysia","NOT KNOWN"
"Malta","NOT KNOWN"
"Mexico","NOT KNOWN"
"Moldova","NOT KNOWN"
"Mongolia","57"
"Montenegro","90"
"Morocco",""
"Myanmar","50"
"Netherlands","10"
"Nicaragua","50"
"New Zealand","NOT KNOWN"
"Nigeria","20"
"Norway","NOT KNOWN"
"Oman","30"
"Pakistan","30"
"Palestinian Authority","25"
"Panama","50"
"Paraguay","44"
"Peru","4"
"Poland","NOT KNOWN"
"Portugal","NOT KNOWN"
"Qatar","NOT KNOWN"
"Republic of Korea","5"
"Romania","10"
"Russia","80"
"San Marino","1.2"
"Saudi Arabia","10"
"Serbia","NOT KNOWN"
"Singapore","1"
"Slovenia","70"
"South Africa","90"
"Spain","NOT KNOWN"
"Sri Lanka",""
"Sweden","NOT KNOWN"
"Switzerland","60"
"Taiwan","9.3"
"Thailand","6"
"Macedonia","NOT KNOWN"
"Tunisia","NOT KNOWN"
"Turkey","NOT KNOWN"
"United Arab Emirates","NOT KNOWN"
"United Kingdom","10"
"United States","80"
"Uruguay","30"
"Venezuela","30"
"Yemen","NOT KNOWN"
"Zambia","15"
"Zimbabwe","NOT KNOWN"