"Country","% Visual"
"Albania","5"
"Algeria","24"
"Argentina","20"
"Armenia","NOT KNOWN"
"Australia","27.8"
"Austria","29"
"Bahrain","30"
"Bangladesh","NOT KNOWN"
"Belgium","30"
"Bolivia","15"
"Bosnia and Herzegovina","46"
"Brazil","NOT KNOWN"
"Bulgaria","NOT KNOWN"
"Cameroon","70"
"Canada","30"
"China","50"
"Colombia","37.2"
"Costa Rica","58"
"Cote d'Ivoire","90"
"Cuba","NOT KNOWN"
"Croatia","32"
"Cyprus","40"
"Czech Republic","NOT KNOWN"
"Democratic Republic of the Congo","66.6"
"Denmark","18"
"Dominican Republic","NOT KNOWN"
"Ecuador","NOT KNOWN"
"Egypt","16"
"Estonia","NOT KNOWN"
"Ethiopia","NOT KNOWN"
"Finland","NOT KNOWN"
"France","25"
"Germany","19"
"Ghana","40"
"Greece","50"
"Guatemala","15"
"Guinea","40"
"Hungary","10"
"Iceland","18"
"India","35"
"Indonesia","5"
"Iran","33"
"Iraq","33"
"Ireland","50"
"Israel","45"
"Italy","26"
"Japan","30"
"Jordan","10"
"Kenya","NOT KNOWN"
"Kuwait","30"
"Latvia","NOT KNOWN"
"Lebanon","30"
"Libya","25"
"Liechtenstein","30"
"Lithuania","22"
"Luxembourg","NOT KNOWN"
"Malawi","NOT KNOWN"
"Malaysia","NOT KNOWN"
"Malta","NOT KNOWN"
"Mexico","70"
"Moldova","NOT KNOWN"
"Mongolia","64"
"Montenegro","35"
"Morocco","20"
"Myanmar","50"
"Netherlands","40"
"Nicaragua","20"
"New Zealand","NOT KNOWN"
"Nigeria","90"
"Norway","15"
"Oman","26"
"Pakistan","30"
"Palestinian Authority","15"
"Panama","40"
"Paraguay","12"
"Peru","6"
"Poland","NOT KNOWN"
"Portugal","35"
"Qatar","28"
"Republic of Korea","15"
"Romania","60"
"Russia","60"
"San Marino","24"
"Saudi Arabia","20"
"Serbia","22"
"Singapore","26"
"Slovenia","20"
"South Africa","90"
"Spain","38"
"Sri Lanka","70"
"Sweden","70"
"Switzerland","90"
"Taiwan","58.1"
"Thailand","40"
"Macedonia","65"
"Tunisia","21.4"
"Turkey","21.7"
"United Arab Emirates","16"
"United Kingdom","30"
"United States","40"
"Uruguay","70"
"Venezuela","52"
"Yemen","NOT KNOWN"
"Zambia","90"
"Zimbabwe","NOT KNOWN"